city,timestamp,temperature,feels_like,pressure,humidity,wind_speed,weather_description
Kazan’,2025-06-18 00:15:42,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:17:49,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:15:33,21.94,21.97,1003,68,1,clear sky
Rostov-on-Don,2025-06-18 00:19:58,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:17:18,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:16:25,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:16:43,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:19:59,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:19:50,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:19:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:15:20,10.63,10.15,1006,92,1.79,clear sky
Barnaul,2025-06-18 00:16:49,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:15:32,18.89,18.48,1004,63,7,clear sky
Vladivostok,2025-06-18 00:15:29,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:19:18,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:20:00,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:20:01,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:40,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:50,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:24:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:24:08,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:20:04,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:24:27,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:23:23,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:58,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:24:58,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:20:26,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:24:39,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:24:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:22:25,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:24:59,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:40,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:24:59,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:24:03,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:20:00,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:20:01,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:40,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:50,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:24:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:24:08,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:20:04,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:24:27,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:23:23,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:58,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:24:58,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:20:26,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:24:39,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:24:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:22:25,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:24:59,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:40,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:24:59,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:24:03,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:20:00,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:20:01,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:40,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:50,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:24:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:24:08,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:20:04,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:24:27,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:23:23,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:58,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:24:58,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:20:26,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:24:39,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:24:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:22:25,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:24:59,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:40,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:24:59,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:24:03,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:20:00,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:20:01,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:40,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:50,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:24:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:24:08,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:20:04,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:24:27,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:23:23,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:58,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:24:58,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:20:26,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:24:39,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:24:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:22:25,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:24:59,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:40,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:24:59,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:24:03,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:23:08,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:58,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:46,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:48,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:22:37,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:23:37,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:23:20,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:26:01,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:43,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:23:10,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:26:13,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:26:14,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:26:14,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:26:14,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:26:14,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:42,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:21:43,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:23:38,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:23:08,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:58,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:21:46,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:24:48,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:22:37,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:23:37,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:22:55,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:23:20,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:26:01,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:24:43,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:23:10,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:26:13,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:26:14,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:26:14,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:26:14,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:26:14,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:22:42,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:21:43,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:23:38,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:55,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:23,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:27:25,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:25:13,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:28:02,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:25:00,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:27:58,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:27:35,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:30:00,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:26:36,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:26:19,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:29:09,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:29:45,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:29:15,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:30:00,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:28:04,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:30:01,19.89,19.5,1005,60,8,clear sky
Vladivostok,2025-06-18 00:28:30,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:29:33,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:55,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:23,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:27:25,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:25:13,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:28:02,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:25:00,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:27:58,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:27:35,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:30:00,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:26:36,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:26:19,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:29:09,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:29:45,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:29:15,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:30:00,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:28:04,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:30:01,19.89,19.5,1005,60,8,clear sky
Vladivostok,2025-06-18 00:28:30,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:29:33,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:55,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:23,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:27:25,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:25:13,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:28:02,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:25:00,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:27:58,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:27:35,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:30:00,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:26:36,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:26:19,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:29:09,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:29:45,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:29:15,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:30:00,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:28:04,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:30:01,19.89,19.5,1005,60,8,clear sky
Vladivostok,2025-06-18 00:28:30,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:29:33,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:55,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:23,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:27:25,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:25:13,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:28:02,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:25:00,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:27:58,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:27:35,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:30:00,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:26:36,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:26:19,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:29:09,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:29:45,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:29:15,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:30:00,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:28:04,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:30:01,19.89,19.5,1005,60,8,clear sky
Vladivostok,2025-06-18 00:28:30,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:29:33,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:55,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:25:23,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:27:25,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:25:13,12.77,12.71,1004,100,1,clear sky
Nizhny Novgorod,2025-06-18 00:28:02,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:25:00,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:27:58,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:27:35,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:30:00,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:26:13,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:26:36,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:26:19,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:29:09,14.42,13.51,1005,61,2.82,clear sky
Tyumen,2025-06-18 00:29:45,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:29:15,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:30:00,10.07,9.53,1006,92,0.45,clear sky
Barnaul,2025-06-18 00:28:04,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:30:01,19.89,19.5,1005,60,8,clear sky
Vladivostok,2025-06-18 00:28:30,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:29:33,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:28:08,16.38,16.11,1005,78,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:35:42,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:37:54,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:34:40,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:33:06,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:33:08,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:35:07,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:36:04,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:35:10,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:36:51,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:33,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:36:07,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:37:55,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:37:56,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:36:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:37:46,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:34:50,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:37:56,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:37:56,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:34:09,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
Tyumen,2025-06-18 00:35:24,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 00:40:03,11.85,11.49,1004,92,4.07,overcast clouds
Izhevsk,2025-06-18 00:39:38,10.63,10.15,1006,92,1.34,clear sky
Barnaul,2025-06-18 00:37:31,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:36:06,19.89,19.5,1004,60,8,clear sky
Vladivostok,2025-06-18 00:39:14,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 00:40:04,15.03,14.81,1017,85,5.65,clear sky
Moscow,2025-06-18 00:37:38,16.38,16.11,1005,78,1.44,overcast clouds
Saint Petersburg,2025-06-18 00:35:12,15.08,14.94,1005,88,4,broken clouds
Novosibirsk,2025-06-18 00:39:59,18.61,19.14,1008,100,2,overcast clouds
Ekaterinburg,2025-06-18 00:36:09,12.77,12.71,1004,100,3,broken clouds
Nizhny Novgorod,2025-06-18 00:36:16,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 00:35:55,12.34,11.98,1006,90,2.95,few clouds
Chelyabinsk,2025-06-18 00:37:48,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 00:40:03,20.94,21,1003,73,1,clear sky
Rostov-on-Don,2025-06-18 00:40:03,17.25,17.3,1011,87,1.13,overcast clouds
Ufa,2025-06-18 00:35:43,12.65,12.48,1003,96,1.29,broken clouds
Volgograd,2025-06-18 00:36:55,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:40:03,16.22,15.26,1012,52,1.48,few clouds
Saratov,2025-06-18 00:35:49,14.42,13.54,1005,62,0.45,clear sky
